Mukurtu Core,"MARC tag and name
(https://www.loc.gov/marc/bibliographic/)",Mapping/content notes,Mukurtu Core field format notes,"SR10 example (as converted from MRC to CSV)
Only select fields included in conversion",SR10 example (as staged in CSV for import),"SR10 example (as displayed on Passamaquoddy site)
Note: multi-value fields here are shown with semicolons and line breaks for ease of visibility. 
When displayed in site they are instead hyperlinked and visually separated with a comma."
Mukurtu Essentials,,,,,,
Title,245 - Title Statement,No modifications neeeded,Single value,"Passamaquoddy story of Glooscap and the animals,part 3[sound recording] /spoken by Noel Joseph.",Passamaquoddy story of Glooscap and the animals part 3 [sound recording] / spoken by Noel Joseph.,Passamaquoddy story of Glooscap and the animals part 3 [sound recording] / spoken by Noel Joseph.
Summary,246 - Varying Form of Title,No modifications neeeded,"Single value
255 character limit",Jesse Walter Fewkes collection of Passamaquoddy cylinder recordings SR10,Jesse Walter Fewkes collection of Passamaquoddy cylinder recordings SR10,Jesse Walter Fewkes collection of Passamaquoddy cylinder recordings SR10
Media Assets,,No direct mapping,"Use atom SID
Separate multiple values with semicolons",,71,[Embedded HTML5 media player]
Community,,No direct mapping,"Use community NID
Separate multiple values with semicolons",,43,American Folklife Center Library of Congress
Protocol,,"No direct mapping
","Use protocol NID
Separate multiple values with semicolons",,44,Library of Congress Public Access
Item Sharing Settings,,No direct mapping,Any or All,,All,All
Category,,"No direct mapping
Likely Songs or Stories, but determine as needed",Separate multiple values with semicolons,,Stories,Stories
Creator,700 - Added Entry - Personal Name,No modifications needed,Separate multiple values with semicolons,"Fewkes, Jesse Walter,1850-1930,recordist,speaker.;Joseph, Noel,performer.","Fewkes, Jesse Walter, 1850-1930, recordist, speaker; Joseph, Noel, performer","Fewkes, Jesse Walter, 1850-1930, recordist, speaker; 
Joseph, Noel, performer"
Contributor,,Not used for AFC-Mukurtu records,Separate multiple values with semicolons,,,
Original Date,"260 - Publication, Distribution, etc. (Imprint)",No modifications needed,"Ensure ISO (yyyy-mm-dd) formatting
Partial dates accepted
Single value",1890-03-15.,1890-03-15,1890 March 15th
Original Date Description,518 - Date/Time and Place of an Event Note,No modifications needed,"Single value
255 character limit","Recorded in Calais, Maine on March 15, 1890 by Jesse Walter Fewkes.","Recorded in Calais, Maine on March 15, 1890 by Jesse Walter Fewkes.","Recorded in Calais, Maine on March 15, 1890 by Jesse Walter Fewkes."
,,,,,,
Mukurtu Core,,,,,,
Cultural Narrative,,Not used for AFC-Mukurtu records,"Rich text (HTML supported)
Single value
No character limit",,,
Traditional Knowledge,,Not used for AFC-Mukurtu records,"Rich text (HTML supported)
Single value
No character limit",,,
